cod_ibge;Municipio;Valor;Ano;Tipo;Valor Estado;Indicador 1;Indicador 2;Indicador 3;Indicador 4;Indicador 5;
3502309;Anhembi;0,253;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3502309;Anhembi;0,31;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3502309;Anhembi;0,302;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3502309;Anhembi;0,316;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3502309;Anhembi;0,355;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3502408;Anhumas;0,338;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3502408;Anhumas;0,251;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3502408;Anhumas;0,268;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3502408;Anhumas;0,267;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3502408;Anhumas;0,273;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3502408;Anhumas;0,295;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3502507;Aparecida;0,357;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3502507;Aparecida;0,405;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3502507;Aparecida;0,418;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3502507;Aparecida;0,378;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3502507;Aparecida;0,393;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3502507;Aparecida;0,431;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3502606;Aparecida d'Oeste;0,284;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3502606;Aparecida d'Oeste;0,274;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3502606;Aparecida d'Oeste;0,322;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3502606;Aparecida d'Oeste;0,343;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3502606;Aparecida d'Oeste;0,313;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3502606;Aparecida d'Oeste;0,366;2024;Riqueza;0,464;;;;;Indicador Riqueza;
